Country,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,3-Feb-20,4-Feb-20,5-Feb-20,6-Feb-20,7-Feb-20,8-Feb-20,9-Feb-20,10-Feb-20,11-Feb-20,12-Feb-20,13-Feb-20,14-Feb-20,15-Feb-20,16-Feb-20,17-Feb-20,18-Feb-20,19-Feb-20,20-Feb-20,21-Feb-20,22-Feb-20,23-Feb-20,24-Feb-20,25-Feb-20,26-Feb-20,27-Feb-20,28-Feb-20,29-Feb-20,1-Mar-20,2-Mar-20,3-Mar-20,4-Mar-20,5-Mar-20,6-Mar-20,7-Mar-20,8-Mar-20,9-Mar-20,10-Mar-20,11-Mar-20,12-Mar-20,13-Mar-20,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,5,6,7,8,9,10,10,11,12,12,13,15,19,27,32,38,49,57,57,81,110,130,206,254,315,382,442,495,586,657,713,790,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,3,4,7,10,13,13,15,16,22,28,32,41,52,68,68,77,93,99,109,124,133,157,177,230,248,267,318,333,368,391,412,438,438,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,4,7,7,7,9,31,46,66,73,84,89,99,117,190,228,331,352,387,418,464,495,530,624,695,743,821,892,966,1061,1156,1156,,,,,,
Philippines,,,,,,,,,,,,,,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,10,24,33,49,52,64,111,140,142,142,202,217,230,307,380,462,552,636,707,803,1075,1418,1546,,,,,,
India,,,,,,,,,,,,,,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,28,30,31,34,40,47,58,64,74,82,97,112,129,129,156,194,249,332,396,499,536,657,722,887,987,1024,1209,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,3,3,4,6,6,9,13,15,17,29,47,59,89,123,139,168,168,260,277,308,367,433,576,794,906,1029,1292,1452,1815,1952,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,5,6,6,6,6,6,7,7,7,8,12,15,26,43,53,53,93,118,164,203,251,316,367,405,475,585,717,848,993,,,,,,
Finland,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,6,7,7,7,12,15,19,24,33,40,65,109,155,225,244,278,322,336,400,450,523,626,700,792,880,958,1041,1167,1240,1352,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,3,3,3,3,9,9,13,13,15,23,24,25,25,30,33,33,33,38,40,44,49,54,61,70,75,79,83,90,91,91,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,4,4,5,5,5,6,6,7,16,19,19,21,28,31,53,184,184,299,454,501,734,776,875,972,1063,1179,1331,1500,1597,1650,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,4,10,15,20,23,27,35,90,264,516,674,801,836,864,914,1024,1115,1206,1255,1326,1395,1450,1591,1724,1877,2046,2201,2395,2555,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,10,18,24,39,82,128,188,265,321,382,503,614,804,959,1135,1414,1705,2056,2460,2994,3656,4204,4749,5560,6412,7431,8603,9762,10866,11750,,,,,,
Nepal,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,5,5,5,,,,,,
Cambodia,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,5,5,5,12,12,12,35,37,51,53,84,87,91,96,96,99,99,103,103,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,9,13,21,30,39,41,61,78,112,169,245,331,448,642,786,1020,1280,1600,2060,2362,2995,3544,4268,5170,5962,6408,,,,,,
Sri Lanka,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,6,10,18,28,28,51,60,73,77,82,97,102,102,106,106,113,117,117,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,8,15,26,50,109,169,200,239,267,314,399,559,689,886,1058,1243,1486,1795,2257,2815,3401,3743,4269,4937,6235,7284,9134,10836,11899,,,,,,
Egypt, Arab Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,15,48,49,55,59,67,80,93,109,126,150,150,196,256,285,294,327,366,402,456,495,536,576,609,609,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,7,7,7,11,16,21,21,22,22,24,24,40,40,74,84,94,110,110,120,120,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,3,3,3,4,7,7,9,14,14,19,19,19,35,50,76,85,115,136,148,177,201,219,241,259,259,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,4,8,13,19,25,30,34,52,75,121,121,121,234,346,394,635,904,1128,1546,1924,2247,2433,2915,3417,3904,4256,4316,,,!,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,5,10,10,10,10,13,16,27,79,115,171,205,205,258,267,283,306,326,352,369,404,538,575,645,679,679,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,3,3,5,5,7,7,26,34,51,77,81,81,203,335,484,670,798,875,1099,1333,1453,1605,1831,1950,1988,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,7,10,13,13,14,14,15,15,15,17,19,28,37,58,58,111,260,367,506,789,981,1049,1173,1382,1595,1823,1890,1924,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,6,13,18,19,21,24,34,43,70,90,129,170,170,170,292,557,683,785,906,1125,1329,1564,1819,2121,2415,2615,2615,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,8,10,15,21,23,26,36,51,62,69,72,80,101,109,109,109,119,144,144,160,175,187,187,208,208,223,224,224,224,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,4,4,5,5,5,5,5,5,5,5,8,8,8,20,28,39,52,66,102,155,205,283,368,451,514,514,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,9,12,17,17,27,41,63,99,129,179,209,274,299,358,394,460,460,,,,,,
